"","id","percent"
"454","VALEANT PHARMACEUTICALS",1.39954
"205","HCA INC",1.326808
"322","NUMERICABLE-SFR SAS",1.260744
"170","FIRST DATA CORPORATION",1.172325
"180","FRONTIER COMMUNICATIONS",1.133836
"370","ROYAL BK SCOTLND GRP PLC",1.076103
"424","TENET HEALTHCARE CORP",1.057858
"142","DISH DBS CORP",0.991412
"365","REYNOLDS GRP ISS/REYNOLD",0.988222
"415","T-MOBILE USA INC",0.985642
"100","CHS/COMMUNITY HEALTH SYS IN",0.958555
"478","WIND ACQUISITION FIN SA",0.851236
"374","SABINE PASS LIQUEFACTION",0.835337
"103","CIT GROUP INC",0.832261
"134","DAVITA HEALTHCARE PARTNE",0.790256
"405","SPRINT CORP",0.753436
"148","DYNEGY INC",0.753089
"50","AUDATEX NORTH AMERICA IN",0.729493
"107","CLEAR CHANNEL WORLDWIDE",0.689528
"308","NEPTUNE FINCO CORP",0.672829
"206","HD SUPPLY INC",0.626165
"84","CCO HLDGS LLC/CAP CORP",0.604881
"25","ALTICE LUXEMBOURG SA",0.597685
"286","MGM RESORTS INTL",0.595665
"166","FAMILY TREE ESCROW LLC",0.594952
"221","ICAHN ENTERPRISES/FIN",0.593366
"1","1011778 BC / NEW RED FIN",0.589507
"22","ALLY FINANCIAL INC",0.588654
"235","INTESA SANPAOLO SPA",0.587296
"449","UNIVISION COMMUNICATIONS",0.585089
"367","RITE AID CORP",0.582522
"261","L BRANDS INC",0.577751
"42","ARCELORMITTAL",0.577458
"397","SIRIUS XM RADIO INC",0.568508
"91","CENTURYLINK INC",0.56561
"445","UNITED RENTALS NORTH AM",0.527309
"139","DEUTSCHE BANK AG",0.526778
"488","ZF NA CAPITAL",0.521122
"315","NIELSEN FINANCE LLC/CO",0.51785
"404","SPRINT COMMUNICATIONS",0.50786
"231","INTELSAT JACKSON HLDG",0.497402
"57","BALL CORP",0.493279
"348","POST HOLDINGS INC",0.485626
"163","EQUINIX INC",0.483597
"24","ALTICE FINANCING SA",0.480504
"234","INTERNATIONAL GAME TECH",0.480315
"78","CALPINE CORP",0.470579
"176","FMG RESOURCES AUG",0.462867
"302","NAVIENT CORP",0.46006
"319","NRG ENERGY INC",0.459772
"193","GOODYEAR TIRE & RUBBER",0.449079
"169","FIAT CHRYSLER AUTOMOBILE",0.43397
"154","ENDO LTD/FIN LLC/FINCO",0.433304
"116","CONCHO RESOURCES INC",0.429244
"93","CEQUEL COM HLDG I/CAP CP",0.423655
"239","IRON MOUNTAIN INC",0.421829
"269","LEVEL",0.421031
"64","BOMBARDIER INC",0.412834
"436","TRANSDIGM INC",0.408511
"222","IHEARTCOMMUNICATIONS INC",0.407871
"85","CCOH SAFARI LLC",0.40702
"401","SOFTBANK GROUP CORP",0.401165
"484","WYNN LAS VEGAS LLC/CORP",0.397136
"121","CONSTELLATION BRANDS INC",0.38966
"289","MICRON TECHNOLOGY INC",0.388061
"386","SCIENTIFIC GAMES INTERNA",0.387752
"258","KINETIC CONCEPT/KCI USA",0.387606
"90","CENTENE ESCROW CORP",0.386602
"457","VEREIT OPERATING PARTNER",0.381067
"208","HERTZ CORP",0.363049
"156","ENERGIZER HOLDINGS INC",0.362704
"8","ACTIVISION BLIZZARD",0.360986
"9","ADT CORP",0.355254
"485","XPO LOGISTICS INC",0.353988
"13","AERCAP IRELAND CAP LTD/A",0.34806
"86","CDW LLC/CDW FINANCE",0.346983
"402","SPECTRUM BRANDS INC",0.342378
"227","INFOR US INC",0.341989
"39","ANTERO RESOURCES CORP",0.341606
"216","HUGHES SATELLITE SYSTEMS",0.334495
"306","NCR CORP",0.333138
"18","ALCOA INC",0.331835
"275","MALLINCKRODT FIN/SB",0.330571
"45","ARGOS MERGER SUB INC",0.330295
"291","MILLICOM INTL CELLULAR",0.324051
"323","NXP BV/NXP FUNDING LLC",0.323806
"309","NETFLIX INC",0.322132
"75","CAESARS ENT RESORT PROP",0.317228
"416","TALEN ENERGY SUPPLY LLC",0.315249
"73","BUILDING MATERIALS CORP",0.313385
"46","ASHLAND INC",0.308273
"421","TEGNA INC",0.306574
"463","VIRGIN MEDIA SECURED FIN",0.302074
"479","WINDSTREAM SERVICES LLC",0.301825
"262","LAMAR MEDIA CORP",0.301575
"155","ENEL SPA",0.30027
"396","SINCLAIR TELEVISION GROU",0.292911
"417","TARGA RESOURCES PARTNERS",0.290693
"30","AMERICAN AIRLINES GROUP",0.289924
"268","LENNAR CORP",0.286858
"422","TELECOM ITALIA SPA",0.285028
"243","JAGUAR LAND ROVER AUTOMO",0.280384
"192","GLP CAPITAL LP / FIN II",0.279827
"203","HARBINGER GROUP INC",0.279053
"178","FRESENIUS MED CARE II",0.276575
"437","TRANSOCEAN INC",0.275335
"477","WILLIAMS COMPANIES INC",0.274762
"12","AECOM",0.26296
"409","STEEL DYNAMICS INC",0.260993
"311","NEWFIELD EXPLORATION CO",0.260157
"16","AIRCASTLE LTD",0.259258
"117","CONCORDIA HEALTHCARE",0.258768
"244","JBS USA LLC/JBS USA FINA",0.258014
"106","CLEAN HARBORS INC",0.25706
"429","TESORO LOGISTICS LP/CORP",0.25413
"298","MSCI INC",0.253794
"305","NCL CORP LTD",0.253558
"257","KINDRED HEALTHCARE INC",0.249054
"325","ONEMAIN FIN HOLDINGS INC",0.247844
"359","RANGE RESOURCES CORP",0.247716
"237","INVENTIV HEALTH INC",0.247701
"475","WHITING PETROLEUM CORP",0.241961
"423","TELESAT CANADA/TELESAT L",0.240386
"173","FIRSTENERGY CORP",0.240098
"157","ENERGY TRANSFER EQUITY LP",0.239588
"83","CASE NEW HOLLAND INDUSTR",0.238648
"385","SCHAEFFLER HLDG FIN BV",0.238366
"335","PBF HOLDING CO LLC",0.237056
"26","ALTICE US FINANCE I CORP",0.232477
"447","UNITYMEDIA HESSEN / NRW",0.231493
"214","HUB INTERNATIONAL LTD",0.230207
"113","COMMSCOPE TECH FINANCE L",0.228614
"343","PINNACLE ENTERTAINMENT I",0.228297
"14","AES CORP/VA",0.226629
"442","U.S. FOODSERVICE",0.225701
"60","BLUE CUBE SPINCO INC",0.225544
"40","APX GROUP INC",0.224643
"236","INTL LEASE FINANCE CORP",0.224144
"329","OUTFRONT MEDIA CAP LLC/C",0.221062
"172","FIRST QUANTUM MINERALS L",0.218565
"389","SENSATA TECHNOLOGIES BV",0.218496
"35","AMERIGAS FINANCE LLC/COR",0.217204
"109","CNH INDUSTRIAL CAPITAL L",0.216247
"29","AMC NETWORKS INC",0.215487
"271","LIFEPOINT HEALTH INC",0.213258
"112","COMMSCOPE INC",0.213141
"403","SPRINGLEAF FINANCE CORP",0.207997
"330","OWENS-BROCKWAY",0.206799
"97","CHEMOURS CO",0.206376
"124","COTT BEVERAGES INC",0.203664
"126","CRESTWOOD MIDSTREAM PART",0.202521
"379","SALLY HOLDINGS/SALLY CAP",0.198859
"211","HILTON WORLDWIDE FIN LLC",0.197849
"118","CONSOL ENERGY INC",0.195224
"127","CRIMSON MERGER SUB INC",0.190544
"225","INEOS GROUP HOLDINGS SA",0.185755
"317","NORTEK INC",0.183539
"384","SCHAEFFLER FINANCE BV",0.182948
"460","VIDEOTRON LTD",0.182045
"41","ARAMARK SERVICES INC",0.180824
"44","ARDAGH FINANCE HOLDINGS",0.180209
"345","PLATFORM SPECIALTY PROD",0.179778
"482","WPX ENERGY INC",0.179658
"303","NAVIOS MARITIME ACQ CORP",0.179185
"432","TIME INC",0.179039
"196","GRIFOLS WORLDWIDE OP LTD",0.177691
"52","AVAYA INC",0.177206
"217","HUNTINGTON INGALLS INDUS",0.176705
"377","SABRE GLBL INC",0.176256
"297","MPH ACQUISITION HOLDINGS",0.175844
"400","SMITHFIELD FOODS INC",0.174557
"19","ALGECO SCOTSMAN GLOB FIN",0.174373
"133","D.R. HORTON INC",0.173123
"391","SERVICE CORP INTL",0.17182
"414","SUNOCO LP/FINANCE CORP",0.171488
"34","AMERICAN TIRE DISTRIBUTORS",0.170833
"283","MEG ENERGY CORP",0.170486
"129","CSC HOLDINGS LLC",0.169725
