Date,Dividends
2007-12-21,1.375
2008-06-20,0.583
2009-12-18,0.443
2010-06-18,0.421
2011-12-16,0.508
2012-06-15,0.449
2016-09-16,0.493
2012-09-21,0.475
2014-09-19,0.449955
2006-06-16,0.398
2008-09-19,0.539
2010-09-17,0.443
2006-09-15,0.429
2017-03-17,0.437
2015-03-20,0.396
2009-03-20,0.441
2011-03-18,0.378
2013-03-15,0.355
2017-06-16,0.513
2013-06-21,0.417
2013-12-20,1.22924
2015-06-19,0.503
2015-12-18,3.171
2007-03-16,0.368
2008-12-19,0.592
2009-06-19,0.425
2010-12-17,0.499
2011-06-17,0.419
2017-09-15,0.52
2013-09-20,0.402473
2015-09-18,0.492
2006-12-15,0.589
2007-06-15,0.482
2007-09-21,0.543
2009-09-18,0.423
2011-09-16,0.433
2006-03-17,0.354
2014-03-21,0.38845
2016-03-18,0.459
2008-03-20,0.492
2010-03-19,0.379
2012-03-16,0.402
2016-06-17,0.506
2016-12-16,1.369
2012-12-21,0.583
2014-06-20,0.440883
2014-12-19,2.457
