Date,Dividends
2008-09-24,0.371
2010-09-24,0.276
2015-03-23,0.462
2007-12-14,0.447
2017-03-22,0.56
2016-09-13,0.483
2013-06-24,0.419
2015-12-21,0.599
2009-03-25,0.31
2011-03-25,0.31
2013-03-22,0.361
2015-06-26,0.56
2017-06-23,0.596
2009-12-22,0.321
2013-09-23,0.437
2011-12-21,0.375
2009-06-24,0.28
2015-09-23,0.528
2017-09-20,0.602
2011-06-24,0.335
2013-12-20,0.532
2007-03-26,0.268
2006-12-22,0.175
2009-09-24,0.257
2011-09-23,0.307
2007-06-25,0.296
2008-12-22,0.33
2012-03-26,0.328
2014-03-24,0.401
2007-09-24,0.346
2008-03-25,0.371
2012-06-25,0.37
2014-06-23,0.476
2016-03-15,0.478
2016-06-21,0.578
2010-03-25,0.229
2016-12-22,0.667
2008-06-24,0.371
2012-09-24,0.403
2014-09-22,0.469
2010-12-22,0.313
2014-12-18,0.562
2010-06-24,0.273
2012-12-20,0.492
