Microsoft Corporation	6.36%
Johnson & Johnson	3.83%
JPMorgan Chase & Co.	3.62%
Exxon Mobil Corporation	3.60%
Wells Fargo & Company	2.57%
Procter & Gamble Company	2.25%
Chevron Corporation	2.24%
Intel Corporation	2.18%
Pfizer Inc.	2.11%
AT&T Inc.	2.11%
Verizon Communications Inc.	1.99%
Coca-Cola Company	1.80%
General Electric Company	1.79%
Cisco Systems, Inc.	1.74%
DowDuPont Inc.	1.72%
Philip Morris International Inc.	1.65%
PepsiCo, Inc.	1.60%
Merck & Co., Inc.	1.54%
AbbVie, Inc.	1.46%
Boeing Company	1.46%
McDonald's Corporation	1.39%
3M Company	1.36%
International Business Machines Corporation	1.35%
Amgen Inc.	1.31%
Wal-Mart Stores, Inc.	1.30%
Altria Group, Inc.	1.26%
Bristol-Myers Squibb Company	1.03%
Gilead Sciences, Inc.	0.99%
Texas Instruments Incorporated	0.98%
United Parcel Service, Inc. Class B	0.83%
Eli Lilly and Company	0.82%
Lockheed Martin Corporation	0.79%
Caterpillar Inc.	0.79%
QUALCOMM Incorporated	0.77%
NextEra Energy, Inc.	0.74%
Chubb Limited	0.71%
ConocoPhillips	0.64%
Duke Energy Corporation	0.63%
BlackRock, Inc.	0.60%
General Motors Company	0.58%
Raytheon Company	0.53%
Southern Company	0.53%
Dominion Energy Inc	0.53%
Automatic Data Processing, Inc.	0.53%
Occidental Petroleum Corporation	0.51%
MetLife, Inc.	0.49%
Ford Motor Company	0.49%
Prudential Financial, Inc.	0.48%
Kraft Heinz Company	0.48%
CME Group Inc. Class A	0.47%
Deere & Company	0.43%
Praxair, Inc.	0.43%
Emerson Electric Co.	0.42%
BB&T Corporation	0.41%
Kimberly-Clark Corporation	0.41%
Phillips 66	0.41%
Johnson Controls International plc	0.40%
Exelon Corporation	0.39%
Norfolk Southern Corporation	0.39%
American Electric Power Company, Inc.	0.38%
Waste Management, Inc.	0.37%
HP Inc.	0.37%
Travelers Companies, Inc.	0.37%
U.S. Dollar	0.37%
Eaton Corp. Plc	0.36%
Valero Energy Corporation	0.36%
Kinder Morgan Inc Class P	0.36%
Air Products and Chemicals, Inc.	0.35%
